Player,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Kelvin Leerdam,-0.04,-0.33,0.95,-0.11,0.36,-0.06,0.78
Omir Fernandez,0.16,0.08,0.27,-0.11,0.25,0.12,0.77
Jack Price,-0.04,0.04,0.25,1.32,-0.65,-0.17,0.77
Uriel Antuna,0.41,0.21,-0.50,-0.07,0.48,0.23,0.76
Bressan,-0.04,-0.44,1.06,0.19,0.01,-0.02,0.76
Adama Diomande,2.14,-0.17,-0.42,-0.35,-0.71,0.28,0.76
Daniel Steres,0.07,0.26,-0.81,0.53,0.76,-0.05,0.75
Xavier Arreaga,0.24,0.03,0.57,-0.11,-0.07,0.08,0.74
Marco Delgado,0.16,-0.03,-0.23,0.41,0.32,0.09,0.73
Antonio Mlinar Delamea,0.13,0.09,0.62,0.11,-0.14,-0.08,0.73
Michael Bradley,0.10,0.28,0.35,0.45,-0.26,-0.19,0.71
Sean Davis,-0.13,0.02,0.71,0.70,-0.49,-0.10,0.71
Brad Smith,0.40,0.14,-0.28,0.14,0.33,-0.03,0.71
Youness Mokhtar,0.65,-0.06,-0.07,0.21,-0.17,0.13,0.69
Luis Martins,0.19,0.04,0.39,0.17,-0.08,-0.04,0.68
Kyle Duncan,0.06,-0.11,0.16,0.33,0.07,0.17,0.67
Gary Mackay-Steven,0.15,-0.06,-0.14,0.13,0.40,0.15,0.63
Diego Valeri,0.92,-0.19,-0.51,0.87,-0.35,-0.11,0.63
Andrew Farrell,-0.54,-0.01,1.06,0.74,-0.58,-0.05,0.62
Chris Pontius,0.10,-0.05,-0.16,0.10,0.71,-0.08,0.61
Tommy Smith,0.09,0.47,-0.41,-0.51,0.74,0.21,0.59
Lassi Lappalainen,0.46,-0.06,-0.04,-0.37,0.23,0.36,0.58
Valentín Castellanos,-0.36,0.41,-0.05,-0.26,0.85,-0.01,0.58
Mohamed El-Munir,0.38,0.02,0.24,0.03,-0.05,-0.04,0.57
Gianluca Busio,-0.03,0.53,0.18,-0.64,0.14,0.39,0.57
Krisztián Németh,-0.03,0.20,-0.61,-0.75,1.00,0.75,0.56
Leonardo Jara,-0.02,-0.36,1.09,-0.72,0.51,0.05,0.56
Wilfried Zahibo,-0.05,0.54,-0.64,0.27,0.35,0.08,0.55
Sebastián Saucedo,0.69,0.50,0.07,-0.15,-0.69,0.11,0.53
Joseph Mora,0.21,0.18,0.34,-0.15,-0.07,0.02,0.53
Paul Arriola,0.47,-0.15,0.26,-0.66,0.20,0.40,0.53
Wayne Rooney,0.79,-0.14,0.13,1.03,-2.09,0.80,0.53
Alexander Ring,-0.19,-0.21,-0.12,0.14,0.62,0.29,0.52
Jonathan Mensah,0.02,0.19,0.28,-0.07,-0.03,0.12,0.51
Jonathan Campbell,0.00,0.02,0.51,0.05,-0.08,0.00,0.50
Renzo Zambrano,0.00,-0.07,0.81,-0.19,-0.09,0.03,0.48
Darlington Nagbe,1.00,0.10,0.11,-0.16,-0.53,-0.04,0.48
Graham Zusi,0.03,0.22,-0.28,0.54,-0.09,0.04,0.46
Walker Zimmerman,0.35,-0.07,-0.76,0.75,0.10,0.08,0.45
Carlos Fierro,0.00,0.09,0.12,-0.15,0.29,0.09,0.44
Brooks Lennon,0.29,-0.05,0.38,-0.17,0.02,-0.03,0.43
Bojan Krkić,0.38,0.00,-0.04,-0.18,0.29,-0.02,0.43
Anthony Jackson-Hamel,0.40,0.45,-0.17,0.01,-0.19,-0.07,0.43
Alex Crognale,0.05,0.12,-0.50,0.10,0.41,0.26,0.43
Zachary Brault-Guillard,0.65,-0.02,0.02,-0.18,-0.01,-0.03,0.42
Raheem Edwards,0.12,0.05,-0.18,0.01,0.26,0.15,0.41
Alejandro Fuenmayor,0.15,0.05,-0.08,-0.01,0.11,0.20,0.41
Brian Rodríguez,0.52,0.22,-0.15,-0.37,-0.01,0.19,0.40
Chase Gasper,0.25,0.36,0.23,-0.14,-0.26,-0.07,0.37
Marc Rzatkowski,-0.27,0.57,-0.48,0.41,-0.05,0.19,0.37
Santiago Patiño,-0.08,-0.06,0.06,-0.10,0.35,0.18,0.36
Scott Caldwell,-0.25,0.08,0.81,-0.11,-0.09,-0.09,0.35
Jasser Khmiri,-0.01,0.01,0.42,-0.05,-0.02,-0.01,0.34
