Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Diego Polenta,LAG,2019,2764,0.63,0.14,0.03,0.03,0.00,0.01,0.59,0.07,0.07,0.00,0.10,0.06,0.02
Auston Trusty,PHI,2019,2156,0.49,0.18,0.04,0.08,-0.01,-0.03,0.22,0.00,0.02,-0.02,0.10,0.05,0.05
Kai Wagner,PHI,2019,2951,0.20,0.00,0.00,0.01,-0.01,-0.01,0.98,0.20,0.09,0.10,0.10,0.00,0.00
Tommy Thompson,SJE,2019,2468,0.51,0.16,0.08,0.04,0.00,0.04,0.82,0.04,0.06,-0.02,0.10,0.03,0.02
Russell Teibert,VAN,2019,2370,0.32,0.08,0.00,0.03,-0.01,-0.03,0.57,0.12,0.07,0.05,0.10,0.00,0.01
Douglas Martínez,RSL,2019,65,1.48,0.00,0.00,0.10,-0.10,-0.10,0.00,0.00,0.00,0.00,0.10,0.00,0.07
Claude Dielna,POR,2019,1225,1.02,0.08,0.00,0.08,-0.06,-0.08,0.24,0.00,0.02,-0.02,0.10,0.00,0.07
Diedie Traore,LAG,2019,242,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.00,0.10,-0.10,0.10,0.00,0.00
Mathieu Deplagne,CIN,2019,3155,0.70,0.21,0.03,0.07,-0.01,-0.04,0.27,0.03,0.03,0.00,0.10,0.00,0.04
Gastón Sauro,CLB,2019,1412,0.75,0.20,0.14,0.07,0.00,0.07,0.20,0.00,0.03,-0.03,0.10,0.09,0.05
Bressan,FCD,2019,1261,0.61,0.38,0.08,0.03,0.01,0.05,0.53,0.08,0.07,0.01,0.10,0.03,0.01
Ricardo Clark,CLB,2019,391,1.47,0.00,0.00,0.06,-0.06,-0.06,0.74,0.00,0.03,-0.03,0.10,0.00,0.03
Franco Escobar,ATL,2019,2199,0.31,0.09,0.04,0.03,0.00,0.01,0.48,0.09,0.06,0.02,0.09,0.03,0.01
Renzo Zambrano,POR,2019,866,0.78,0.11,0.00,0.06,-0.05,-0.06,0.55,0.00,0.04,-0.04,0.09,0.00,0.02
Johan Blomberg,COL,2019,99,1.94,0.00,0.00,0.06,-0.06,-0.06,0.97,0.00,0.03,-0.03,0.09,0.00,0.03
Julio Cascante,POR,2019,1614,0.59,0.18,0.00,0.05,0.01,-0.05,0.18,0.06,0.04,0.02,0.09,0.00,0.03
Michael Salazar,HOU,2019,197,0.49,0.00,0.00,0.05,-0.05,-0.05,0.49,0.00,0.04,-0.04,0.09,0.00,0.06
Andy Rose,VAN,2019,2048,0.66,0.19,0.05,0.08,-0.04,-0.04,0.19,0.05,0.01,0.04,0.09,0.04,0.07
Larrys Mabiala,POR,2019,2108,1.00,0.32,0.09,0.08,0.00,0.01,0.09,0.00,0.01,-0.01,0.09,0.06,0.05
Steven Birnbaum,DCU,2019,3353,0.83,0.17,0.03,0.07,-0.04,-0.04,0.14,0.00,0.02,-0.02,0.09,0.02,0.04
Diego Chara,POR,2019,2910,0.23,0.03,0.00,0.04,-0.03,-0.04,0.82,0.03,0.05,-0.02,0.09,0.00,0.01
Donny Toia,RSL,2019,2319,0.46,0.08,0.04,0.04,0.00,0.00,0.58,0.04,0.05,-0.01,0.09,0.04,0.03
Terrence Boyd,TOR,2019,406,0.95,0.47,0.00,0.09,-0.01,-0.09,0.00,0.00,0.00,0.00,0.09,0.00,0.11
Kemar Lawrence,NYRB,2019,1913,0.25,0.05,0.05,0.02,0.02,0.03,0.50,0.00,0.07,-0.07,0.09,0.00,0.00
Lawrence Olum,MIN,2019,622,0.31,0.00,0.00,0.06,-0.06,-0.06,0.62,0.15,0.02,0.13,0.09,0.00,0.05
Shane O'Neill,ORL,2019,937,0.31,0.00,0.00,0.01,-0.01,-0.01,0.51,0.00,0.07,-0.07,0.09,0.00,0.01
Maynor Figueroa,HOU,2019,2480,1.08,0.15,0.00,0.04,-0.01,-0.04,0.35,0.04,0.05,-0.01,0.09,0.00,0.02
Steven Beitashour,LAFC,2019,2037,0.28,0.09,0.05,0.02,0.02,0.02,0.75,0.09,0.06,0.03,0.09,0.03,0.01
Chase Gasper,MIN,2019,1426,0.34,0.07,0.00,0.02,-0.02,-0.02,0.81,0.00,0.06,-0.06,0.09,0.00,0.01
Ben Sweat,NYC,2019,1406,0.27,0.20,0.00,0.02,0.01,-0.02,0.68,0.07,0.07,0.00,0.09,0.00,0.01
Daniel Lovitz,MTL,2019,2764,0.42,0.21,0.00,0.02,0.00,-0.02,0.66,0.03,0.07,-0.03,0.08,0.00,0.01
Andrés Flores,POR,2019,863,1.11,0.11,0.00,0.06,-0.05,-0.06,0.67,0.11,0.02,0.09,0.08,0.00,0.03
Nouhou Tolo,SEA,2019,912,0.53,0.21,0.00,0.04,-0.03,-0.04,0.21,0.00,0.04,-0.04,0.08,0.00,0.03
Leandro González Pirez,ATL,2019,2936,0.72,0.16,0.03,0.06,-0.03,-0.03,0.33,0.00,0.02,-0.02,0.08,0.02,0.04
Reggie Cannon,FCD,2019,2523,0.38,0.04,0.04,0.02,-0.02,0.02,0.49,0.04,0.06,-0.02,0.08,0.03,0.01
Gustav Svensson,SEA,2019,1976,0.92,0.19,0.00,0.04,-0.03,-0.04,0.63,0.00,0.04,-0.04,0.08,0.00,0.02
Marquinhos Pedroso,"DCU, FCD",2019,435,0.88,0.22,0.00,0.02,-0.01,-0.02,0.88,0.00,0.06,-0.06,0.08,0.00,0.01
Bastian Schweinsteiger,CHI,2019,2927,0.79,0.13,0.03,0.04,0.00,0.00,0.56,0.07,0.05,0.02,0.08,0.05,0.03
Joseph Mora,DCU,2019,1750,0.38,0.00,0.00,0.01,-0.01,-0.01,0.82,0.05,0.07,-0.01,0.08,0.00,0.01
Alex Roldan,SEA,2019,502,0.76,0.00,0.00,0.07,-0.07,-0.07,0.38,0.00,0.01,-0.01,0.08,0.00,0.04
Ronaldo Peña,HOU,2019,185,1.04,0.00,0.00,0.04,-0.04,-0.04,0.52,0.00,0.04,-0.04,0.08,0.00,0.04
Scott Sutter,VAN,2019,1106,0.43,0.17,0.09,0.02,0.03,0.07,0.61,0.00,0.06,-0.06,0.08,0.05,0.02
Aurélien Collin,PHI,2019,589,0.81,0.00,0.00,0.08,-0.08,-0.08,0.00,0.00,0.00,0.00,0.08,0.00,0.06
Aaron Long,NYRB,2019,2342,0.78,0.20,0.08,0.07,0.00,0.01,0.08,0.00,0.01,-0.01,0.08,0.04,0.05
Sean Davis,NYRB,2019,2821,0.44,0.10,0.00,0.02,0.00,-0.02,0.71,0.03,0.06,-0.03,0.08,0.00,0.01
Botond Baráth,SKC,2019,1915,0.40,0.10,0.05,0.05,0.01,0.00,0.10,0.00,0.03,-0.03,0.08,0.03,0.03
Darwin Cerén,HOU,2019,612,0.63,0.31,0.16,0.03,0.00,0.12,1.10,0.00,0.04,-0.04,0.08,0.09,0.02
Luis Caicedo,NER,2019,2575,0.82,0.07,0.00,0.04,-0.04,-0.04,0.30,0.00,0.04,-0.04,0.08,0.00,0.03
Ashtone Morgan,TOR,2019,360,0.27,0.27,0.27,0.08,0.09,0.19,0.00,0.00,0.00,0.00,0.08,0.09,0.03
Hassani Dotson,MIN,2019,1580,0.91,0.43,0.24,0.05,0.13,0.19,0.61,0.00,0.02,-0.02,0.08,0.23,0.05
Luis Martins,SKC,2019,915,0.63,0.31,0.00,0.01,0.00,-0.01,0.42,0.00,0.06,-0.06,0.08,0.00,0.01
Osvaldo Alonso,MIN,2019,2585,0.45,0.11,0.07,0.03,0.00,0.05,0.56,0.04,0.05,-0.01,0.07,0.06,0.02
