Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Ryan Telfer,TOR,2019,11,0.00,0.00,0.00,0.00,0.00,0.00,8.73,8.73,3.89,4.84,3.89,0.00,0.00
Carlos Vela,LAFC,2019,2985,5.15,2.28,1.09,0.90,0.13,0.19,2.93,0.32,0.39,-0.07,1.29,0.56,0.51
Amando Moreno,CHI,2019,113,5.10,1.70,0.00,0.82,-0.41,-0.82,0.85,0.00,0.44,-0.44,1.26,0.00,0.64
Ethan Zubak,LAG,2019,57,5.05,1.68,0.00,0.67,-0.49,-0.67,1.68,0.00,0.50,-0.50,1.17,0.00,0.25
Zlatan Ibrahimovic,LAG,2019,2862,5.06,2.18,1.01,0.87,0.08,0.14,1.41,0.20,0.19,0.01,1.06,0.61,0.59
Ricardo Pepi,FCD,2019,113,1.70,0.85,0.00,0.23,-0.15,-0.23,3.40,0.00,0.71,-0.71,0.94,0.00,0.00
Josef Martínez,ATL,2019,2808,4.00,1.71,0.92,0.79,0.02,0.13,0.99,0.07,0.10,-0.04,0.90,0.50,0.43
Zdenek Ondrasek,FCD,2019,855,2.92,1.68,0.79,0.68,0.08,0.11,1.24,0.22,0.20,0.02,0.88,0.21,0.21
Alberth Elis,HOU,2019,2138,3.68,1.48,0.40,0.48,0.04,-0.08,1.57,0.31,0.32,0.00,0.80,0.24,0.28
Santiago Patiño,ORL,2019,398,2.89,0.72,0.48,0.64,-0.18,-0.15,0.72,0.24,0.13,0.11,0.77,0.46,0.57
Darwin Quintero,MIN,2019,2359,3.30,1.10,0.41,0.54,-0.13,-0.14,2.08,0.16,0.22,-0.06,0.76,0.30,0.38
Brian Fernández,POR,2019,1570,4.22,1.83,0.67,0.61,0.09,0.06,1.28,0.06,0.15,-0.09,0.76,0.43,0.40
Wayne Rooney,DCU,2019,2533,3.18,1.02,0.42,0.47,-0.09,-0.06,2.80,0.27,0.25,0.01,0.73,0.28,0.30
Mauro Manotas,HOU,2019,2754,3.21,1.05,0.45,0.53,-0.14,-0.08,1.29,0.17,0.19,-0.02,0.72,0.35,0.35
Héber,NYC,2019,1725,3.12,1.45,0.83,0.57,0.00,0.27,1.34,0.17,0.15,0.01,0.72,0.44,0.34
Nemanja Nikolic,CHI,2019,2134,2.16,0.99,0.54,0.58,-0.07,-0.04,0.94,0.00,0.14,-0.14,0.72,0.29,0.38
Danny Hoesen,SJE,2019,1690,3.35,1.42,0.28,0.53,-0.12,-0.25,1.36,0.17,0.18,-0.01,0.72,0.24,0.35
Raúl Ruidíaz,SEA,2019,1954,3.54,1.38,0.54,0.65,-0.08,-0.11,0.59,0.05,0.06,-0.01,0.71,0.28,0.42
Daniel Royer,NYRB,2019,2522,3.24,1.45,0.42,0.53,-0.03,-0.11,1.03,0.27,0.18,0.09,0.70,0.22,0.32
Chris Wondolowski,SJE,2019,2247,3.38,1.41,0.64,0.62,0.00,0.02,0.94,0.04,0.09,-0.04,0.70,0.35,0.31
Adama Diomande,LAFC,2019,1575,3.54,1.10,0.49,0.53,-0.14,-0.05,1.10,0.30,0.17,0.14,0.70,0.33,0.29
Maximiliano Moralez,NYC,2019,2700,1.81,0.89,0.25,0.37,-0.03,-0.12,3.38,0.36,0.33,0.03,0.70,0.15,0.19
Dom Dwyer,ORL,2019,1779,3.56,1.40,0.38,0.56,-0.14,-0.18,0.43,0.16,0.13,0.04,0.69,0.18,0.37
Cristian Pavón,LAG,2019,1048,3.11,1.37,0.27,0.27,0.10,0.00,2.47,0.46,0.41,0.05,0.68,0.21,0.19
Christian Ramirez,"LAFC, HOU",2019,1745,2.86,1.54,0.50,0.54,-0.09,-0.04,0.99,0.17,0.13,0.03,0.67,0.36,0.34
Krisztián Németh,SKC,2019,1717,2.91,1.01,0.45,0.54,-0.09,-0.09,1.17,0.11,0.13,-0.02,0.67,0.24,0.25
Marco Fabián,PHI,2019,1372,4.55,1.47,0.49,0.51,-0.08,-0.02,2.03,0.07,0.16,-0.09,0.67,0.19,0.31
Pity Martínez,ATL,2019,2301,3.46,1.00,0.21,0.36,-0.09,-0.15,2.59,0.29,0.31,-0.01,0.66,0.12,0.24
Jordan Hamilton,"CLB, TOR",2019,767,3.00,1.50,0.50,0.66,-0.15,-0.16,0.13,0.00,0.01,-0.01,0.66,0.49,0.54
Jozy Altidore,TOR,2019,1835,2.62,1.26,0.58,0.50,0.05,0.08,1.15,0.21,0.16,0.04,0.66,0.38,0.32
Diego Valeri,POR,2019,2857,2.79,1.08,0.27,0.33,-0.02,-0.06,4.07,0.27,0.33,-0.06,0.66,0.16,0.19
Kei Kamara,COL,2019,2788,3.24,1.52,0.48,0.61,0.05,-0.13,0.62,0.00,0.05,-0.05,0.66,0.23,0.34
Romell Quioto,HOU,2019,889,2.92,1.30,0.22,0.31,0.03,-0.09,2.05,0.22,0.34,-0.13,0.65,0.06,0.22
Alejandro Pozuelo,TOR,2019,2728,2.67,1.09,0.42,0.34,0.01,0.08,2.78,0.25,0.30,-0.06,0.65,0.30,0.26
Kevin Molino,MIN,2019,978,2.85,0.88,0.29,0.31,-0.02,-0.02,2.06,0.39,0.32,0.08,0.63,0.11,0.17
Youness Mokhtar,CLB,2019,482,2.79,1.00,0.20,0.27,-0.18,-0.07,1.99,0.00,0.35,-0.35,0.62,0.21,0.25
Aleksandar Katai,CHI,2019,2281,4.42,1.30,0.25,0.30,-0.07,-0.05,1.39,0.25,0.32,-0.07,0.62,0.10,0.20
Sebastián Blanco,POR,2019,2768,3.68,1.11,0.21,0.26,-0.07,-0.06,2.81,0.35,0.35,-0.01,0.62,0.12,0.16
Brandon Vázquez,ATL,2019,703,3.00,1.09,0.27,0.48,-0.23,-0.21,0.96,0.14,0.14,0.00,0.62,0.02,0.21
Kacper Przybylko,PHI,2019,2462,3.16,1.44,0.58,0.50,0.00,0.08,0.90,0.16,0.11,0.04,0.61,0.44,0.32
Nani,ORL,2019,2495,2.46,1.00,0.46,0.35,0.04,0.11,2.65,0.19,0.26,-0.07,0.61,0.38,0.28
Luis Silva,SEA,2019,222,4.76,1.73,0.00,0.60,-0.11,-0.60,0.43,0.00,0.01,-0.01,0.61,0.00,0.29
Diego Rossi,LAFC,2019,3127,3.32,1.50,0.49,0.37,0.04,0.12,1.44,0.18,0.24,-0.05,0.61,0.25,0.17
Cristian Penilla,NER,2019,1959,2.84,0.98,0.29,0.35,-0.07,-0.06,2.01,0.25,0.25,0.00,0.60,0.20,0.23
Nicolás Mezquida,COL,2019,1604,3.95,1.62,0.24,0.32,0.00,-0.08,1.98,0.18,0.27,-0.09,0.59,0.32,0.27
Johnny Russell,SKC,2019,2315,2.32,0.91,0.37,0.29,-0.01,0.08,2.53,0.25,0.30,-0.05,0.59,0.22,0.17
Adrien Pérez,LAFC,2019,273,2.46,1.05,0.35,0.46,-0.24,-0.11,1.76,0.00,0.13,-0.13,0.59,0.21,0.33
Shea Salinas,SJE,2019,1514,1.33,0.57,0.38,0.28,0.04,0.10,2.41,0.19,0.30,-0.11,0.58,0.13,0.13
Nicolás Lodeiro,SEA,2019,2745,1.85,0.63,0.24,0.22,-0.01,0.02,2.94,0.24,0.36,-0.11,0.58,0.15,0.13
Gyasi Zardes,CLB,2019,2705,2.20,0.92,0.46,0.51,-0.05,-0.05,0.85,0.07,0.06,0.01,0.57,0.29,0.38
Nicolas Benezet,TOR,2019,472,2.85,0.81,0.41,0.52,-0.17,-0.11,1.02,0.00,0.04,-0.04,0.56,0.21,0.42
Raheem Edwards,CHI,2019,268,2.51,1.43,0.36,0.43,0.23,-0.08,1.43,0.00,0.13,-0.13,0.56,0.08,0.19
Tomás Conechny,POR,2019,437,2.20,1.10,0.22,0.30,0.05,-0.08,1.32,0.44,0.26,0.18,0.56,0.17,0.20
Tom Barlow,NYRB,2019,653,2.21,1.18,0.44,0.48,0.16,-0.03,0.88,0.00,0.08,-0.08,0.56,0.31,0.25
Chris Pontius,LAG,2019,806,2.14,0.60,0.24,0.34,-0.07,-0.10,1.31,0.24,0.22,0.02,0.56,0.17,0.21
Angelo Rodríguez,MIN,2019,1901,2.78,1.01,0.25,0.47,-0.10,-0.22,0.91,0.05,0.09,-0.04,0.55,0.15,0.31
Memo Rodríguez,HOU,2019,1526,2.96,1.26,0.44,0.38,0.02,0.06,1.70,0.13,0.17,-0.04,0.55,0.26,0.22
Abu Danladi,MIN,2019,843,2.51,0.68,0.23,0.34,0.04,-0.11,1.14,0.23,0.22,0.01,0.55,0.19,0.27
Cristian Espinoza,SJE,2019,2736,3.33,1.26,0.07,0.18,-0.05,-0.11,2.74,0.32,0.37,-0.06,0.55,0.03,0.09
Gerso,SKC,2019,1895,2.03,0.76,0.10,0.29,-0.08,-0.19,1.42,0.30,0.26,0.04,0.55,0.03,0.15
Brian Rodríguez,LAFC,2019,411,3.97,1.17,0.00,0.39,-0.31,-0.39,2.57,0.00,0.16,-0.16,0.55,0.00,0.30
Przemyslaw Frankowski,CHI,2019,2534,2.08,0.91,0.19,0.27,0.00,-0.08,1.70,0.27,0.27,-0.01,0.54,0.09,0.11
Jordan Morris,SEA,2019,2191,1.84,0.88,0.44,0.38,0.02,0.06,0.92,0.26,0.16,0.10,0.54,0.29,0.26
Carles Gil,NER,2019,3343,1.92,0.69,0.29,0.24,0.06,0.04,3.02,0.34,0.29,0.05,0.54,0.21,0.19
C.J. Sapong,CHI,2019,2777,2.14,0.93,0.45,0.45,-0.08,0.00,0.90,0.03,0.09,-0.05,0.54,0.27,0.29
Andre Shinyashiki,COL,2019,1858,2.64,0.98,0.36,0.36,0.09,0.00,1.24,0.10,0.17,-0.07,0.53,0.24,0.25
Juan Fernando Caicedo,NER,2019,1201,2.08,0.72,0.40,0.47,0.00,-0.07,0.72,0.16,0.06,0.10,0.53,0.24,0.27
Justin Rennicks,NER,2019,115,2.50,0.00,0.00,0.47,-0.47,-0.47,0.83,0.00,0.06,-0.06,0.53,0.00,0.32
Jesús Medina,NYC,2019,839,1.83,0.92,0.34,0.43,-0.04,-0.09,1.37,0.00,0.09,-0.09,0.52,0.37,0.39
Rodolfo Zelaya,LAFC,2019,136,4.24,1.41,0.71,0.44,-0.16,0.27,2.12,0.00,0.08,-0.08,0.52,0.01,0.13
Ezequiel Barco,ATL,2019,1046,2.94,1.47,0.37,0.28,0.17,0.09,2.94,0.18,0.24,-0.06,0.52,0.23,0.16
Dániel Sallói,SKC,2019,1704,2.82,0.90,0.06,0.41,-0.18,-0.35,1.01,0.06,0.11,-0.05,0.52,0.04,0.16
Michael Barrios,FCD,2019,3000,1.79,0.58,0.16,0.18,-0.05,-0.02,2.66,0.42,0.33,0.09,0.51,0.05,0.09
Valeri Qazaishvili,SJE,2019,2307,4.58,1.50,0.33,0.38,-0.02,-0.05,1.41,0.21,0.13,0.08,0.51,0.18,0.21
Saphir Taïder,MTL,2019,2976,2.35,0.77,0.29,0.33,0.00,-0.04,1.90,0.19,0.18,0.02,0.51,0.15,0.16
Nicolás Gaitán,CHI,2019,2160,1.51,0.58,0.18,0.25,-0.07,-0.08,2.76,0.49,0.25,0.23,0.51,0.07,0.14
Gary Mackay-Steven,NYC,2019,597,2.73,1.13,0.16,0.35,-0.05,-0.19,1.77,0.16,0.16,0.00,0.51,0.10,0.22
Valentín Castellanos,NYC,2019,2256,3.40,1.32,0.47,0.38,0.00,0.09,1.36,0.17,0.13,0.04,0.51,0.39,0.29
Bradley Wright-Phillips,NYRB,2019,1273,2.49,0.83,0.15,0.37,-0.16,-0.22,0.90,0.08,0.13,-0.05,0.50,0.15,0.27
Sergio Santos,PHI,2019,710,2.84,0.95,0.54,0.44,-0.10,0.10,0.81,0.14,0.06,0.07,0.50,0.16,0.21
Albert Rusnák,RSL,2019,2658,2.74,1.12,0.36,0.32,0.04,0.04,2.53,0.11,0.18,-0.07,0.50,0.21,0.19
Héctor Villalba,ATL,2019,1030,3.36,0.84,0.09,0.30,-0.12,-0.20,1.30,0.28,0.20,0.08,0.49,0.05,0.15
Jamiro Monteiro,PHI,2019,2249,2.13,0.90,0.17,0.29,-0.03,-0.12,1.49,0.21,0.21,0.01,0.49,0.10,0.18
Joao Plata,RSL,2019,405,3.32,1.19,0.24,0.37,-0.13,-0.13,1.19,0.00,0.13,-0.13,0.49,0.42,0.47
Kenny Saief,CIN,2019,619,0.78,0.31,0.16,0.20,0.04,-0.05,1.71,0.31,0.29,0.02,0.49,0.06,0.12
Brian White,NYRB,2019,1441,1.93,0.80,0.60,0.43,0.01,0.17,0.73,0.07,0.07,0.00,0.49,0.38,0.26
Ola Kamara,DCU,2019,282,2.72,2.04,1.02,0.41,0.32,0.61,0.68,0.00,0.07,-0.07,0.49,0.64,0.24
Ilsinho,PHI,2019,1230,1.72,0.78,0.39,0.15,0.15,0.24,2.26,0.39,0.33,0.06,0.49,0.25,0.08
Patrick Mullins,"TOR, CLB",2019,637,2.26,0.60,0.30,0.37,-0.05,-0.07,0.90,0.00,0.12,-0.12,0.49,0.25,0.24
Francis Atuahene,FCD,2019,33,5.82,2.91,2.91,0.48,0.59,2.42,0.00,0.00,0.00,0.00,0.48,2.83,0.48
Romario Williams,"ATL, CLB",2019,212,3.17,1.81,0.45,0.34,-0.05,0.11,1.36,0.00,0.14,-0.14,0.48,0.80,0.22
Dairon Asprilla,POR,2019,624,3.23,1.08,0.31,0.45,0.01,-0.14,0.46,0.00,0.03,-0.03,0.48,0.38,0.47
Fafa Picault,PHI,2019,2035,2.50,1.09,0.19,0.33,-0.05,-0.15,0.90,0.19,0.15,0.04,0.48,0.06,0.21
Mason Toye,MIN,2019,901,2.88,1.39,0.64,0.40,0.02,0.24,0.53,0.11,0.08,0.02,0.48,0.46,0.36
J.J. Williams,CLB,2019,366,1.84,0.26,0.00,0.47,-0.38,-0.47,0.00,0.00,0.00,0.00,0.47,0.00,0.25
Emmanuel Ledesma,CIN,2019,1939,2.43,0.59,0.30,0.29,-0.02,0.01,1.78,0.20,0.18,0.02,0.47,0.10,0.14
Fanendo Adi,CIN,2019,780,2.46,0.74,0.12,0.45,-0.24,-0.33,0.37,0.00,0.01,-0.01,0.46,0.13,0.25
Alexandru Mitrita,NYC,2019,2326,3.88,1.40,0.50,0.33,0.05,0.17,1.20,0.08,0.14,-0.05,0.46,0.28,0.22
Felipe Gutiérrez,SKC,2019,2952,2.11,0.94,0.39,0.32,-0.03,0.07,1.66,0.03,0.13,-0.10,0.46,0.20,0.20
Fredy Montero,VAN,2019,2283,2.52,1.01,0.34,0.35,-0.02,-0.01,1.30,0.08,0.11,-0.03,0.46,0.31,0.30
Uriel Antuna,LAG,2019,2591,1.82,0.67,0.22,0.30,-0.04,-0.08,1.15,0.11,0.16,-0.05,0.46,0.16,0.19
Jeremy Ebobisse,POR,2019,2539,1.97,0.79,0.42,0.38,-0.03,0.04,0.79,0.04,0.08,-0.04,0.46,0.23,0.26
Magnus Eriksson,SJE,2019,3061,2.76,0.72,0.19,0.18,-0.04,0.00,3.17,0.22,0.27,-0.05,0.46,0.09,0.10
Tesho Akindele,ORL,2019,2066,1.95,0.98,0.46,0.38,0.00,0.09,1.25,0.05,0.08,-0.03,0.46,0.24,0.24
Josh Pérez,LAFC,2019,532,2.17,1.08,0.18,0.34,-0.04,-0.16,1.08,0.18,0.12,0.06,0.45,0.00,0.08
Julian Gressel,ATL,2019,2898,2.29,0.83,0.20,0.19,0.01,0.01,2.25,0.36,0.27,0.10,0.45,0.11,0.12
Gustavo Bou,NER,2019,1265,4.63,1.90,0.68,0.36,0.04,0.33,1.06,0.00,0.09,-0.09,0.45,0.48,0.25
Ayo Akinola,TOR,2019,293,2.62,0.98,0.33,0.38,-0.20,-0.05,0.98,0.00,0.07,-0.07,0.45,0.20,0.29
Ema Twumasi,FCD,2019,42,2.29,0.00,0.00,0.45,-0.45,-0.45,0.00,0.00,0.00,0.00,0.45,0.00,0.07
Anthony Jackson-Hamel,MTL,2019,702,2.19,0.82,0.41,0.31,-0.07,0.10,0.68,0.00,0.14,-0.14,0.45,0.10,0.22
Orji Okwonkwo,MTL,2019,1875,2.82,0.77,0.41,0.31,0.04,0.10,0.92,0.10,0.13,-0.03,0.44,0.16,0.15
Andrés Ríos,SJE,2019,330,1.16,0.58,0.29,0.28,-0.02,0.01,2.62,0.00,0.16,-0.16,0.44,0.10,0.02
Michaell Chirinos,VAN,2019,441,2.18,1.31,0.22,0.40,0.03,-0.18,1.09,0.00,0.04,-0.04,0.44,0.22,0.31
Víctor Rodríguez,SEA,2019,1186,2.10,0.81,0.16,0.24,0.01,-0.08,2.27,0.24,0.20,0.04,0.44,0.13,0.14
Tosaint Ricketts,VAN,2019,518,1.85,0.93,0.19,0.29,0.01,-0.11,0.93,0.19,0.15,0.04,0.44,0.18,0.22
Erickson Gallardo,TOR,2019,255,1.13,0.00,0.00,0.12,-0.12,-0.12,1.51,0.38,0.31,0.06,0.44,0.00,0.07
Chris Mueller,ORL,2019,1530,2.51,0.82,0.31,0.18,0.03,0.13,1.51,0.19,0.25,-0.06,0.43,0.20,0.13
Ethan Finlay,MIN,2019,2108,1.64,0.50,0.32,0.31,-0.08,0.01,0.68,0.09,0.12,-0.03,0.43,0.25,0.23
Mauricio Pereyra,ORL,2019,430,0.67,0.22,0.00,0.02,0.00,-0.02,2.68,0.67,0.41,0.26,0.43,0.00,0.01
Diego Rubio,COL,2019,2202,2.14,0.65,0.48,0.29,0.04,0.19,1.44,0.17,0.13,0.04,0.43,0.27,0.16
Bojan Krkić,MTL,2019,650,2.66,0.89,0.44,0.36,0.10,0.08,0.89,0.00,0.06,-0.06,0.43,0.38,0.22
Alejandro Romero Gamarra,NYRB,2019,2103,1.64,0.59,0.23,0.15,0.03,0.08,2.37,0.18,0.28,-0.10,0.43,0.18,0.09
Sam Johnson,RSL,2019,1407,2.12,0.82,0.61,0.40,0.02,0.21,0.55,0.00,0.02,-0.02,0.42,0.37,0.22
Justin Dhillon,SEA,2019,286,2.35,1.01,0.00,0.28,-0.14,-0.28,1.34,0.00,0.14,-0.14,0.42,0.00,0.25
Lassi Lappalainen,MTL,2019,746,2.19,1.16,0.64,0.38,0.12,0.26,0.64,0.00,0.04,-0.04,0.42,0.31,0.19
Pedro Santos,CLB,2019,3034,2.37,0.66,0.35,0.19,-0.01,0.16,2.03,0.16,0.23,-0.07,0.41,0.25,0.14
Omir Fernandez,NYRB,2019,680,1.69,0.85,0.28,0.28,-0.06,0.00,0.99,0.14,0.13,0.01,0.41,0.01,0.17
Emmanuel Boateng,"LAG, DCU",2019,1062,1.27,0.45,0.09,0.23,-0.12,-0.14,1.45,0.00,0.18,-0.18,0.40,0.05,0.15
Ismael Tajouri-Shradi,NYC,2019,1033,2.42,1.02,0.46,0.18,0.06,0.28,1.67,0.28,0.22,0.06,0.40,0.26,0.12
Jonathan Lewis,"COL, NYC",2019,1228,1.33,0.70,0.39,0.17,0.15,0.22,1.49,0.31,0.23,0.08,0.40,0.26,0.10
Tajon Buchanan,NER,2019,447,2.36,0.43,0.00,0.18,-0.16,-0.18,0.43,0.43,0.22,0.21,0.40,0.00,0.11
Latif Blessing,LAFC,2019,2962,1.36,0.32,0.19,0.24,-0.07,-0.04,1.30,0.10,0.16,-0.06,0.40,0.08,0.13
Federico Higuaín,CLB,2019,1222,1.49,0.55,0.08,0.15,0.03,-0.07,2.20,0.24,0.25,-0.01,0.40,0.03,0.07
Jesús Ferreira,FCD,2019,2653,2.13,0.80,0.29,0.31,-0.02,-0.02,1.16,0.11,0.09,0.02,0.40,0.14,0.16
Darren Mattocks,CIN,2019,1385,1.87,0.62,0.21,0.24,0.00,-0.03,1.18,0.14,0.15,-0.01,0.39,0.12,0.16
Carlos Fierro,SJE,2019,264,2.55,0.36,0.00,0.36,-0.32,-0.36,0.73,0.00,0.03,-0.03,0.39,0.00,0.13
Juan Agudelo,NER,2019,2136,1.66,0.45,0.13,0.27,-0.08,-0.13,1.17,0.04,0.13,-0.08,0.39,0.09,0.18
Teal Bunbury,NER,2019,2391,2.49,0.84,0.24,0.31,-0.06,-0.07,1.04,0.04,0.08,-0.04,0.39,0.17,0.21
Dominique Badji,FCD,2019,2190,1.80,0.88,0.26,0.31,-0.04,-0.05,0.92,0.13,0.07,0.06,0.39,0.10,0.14
Jay Chapman,TOR,2019,610,1.10,0.31,0.31,0.12,-0.02,0.20,1.42,0.31,0.27,0.04,0.39,0.05,0.06
Cory Burke,PHI,2019,546,2.46,0.88,0.35,0.34,-0.15,0.02,0.53,0.00,0.05,-0.05,0.38,0.28,0.19
Andrew Wooten,PHI,2019,390,1.23,0.49,0.00,0.26,-0.05,-0.26,0.74,0.00,0.12,-0.12,0.38,0.00,0.09
Emil Cuello,LAG,2019,246,0.78,0.00,0.00,0.13,-0.13,-0.13,0.78,0.39,0.25,0.14,0.38,0.00,0.08
Gianluca Busio,SKC,2019,1046,2.48,1.01,0.28,0.32,-0.01,-0.05,1.10,0.09,0.05,0.04,0.38,0.18,0.13
Luis Díaz,CLB,2019,883,1.96,0.98,0.22,0.15,0.05,0.07,1.41,0.33,0.23,0.10,0.37,0.14,0.08
Lucas Venuto,VAN,2019,1266,1.06,0.45,0.23,0.18,0.03,0.05,1.21,0.08,0.19,-0.12,0.37,0.22,0.09
Favio Álvarez,LAG,2019,1330,2.31,0.94,0.22,0.18,0.06,0.04,1.73,0.29,0.19,0.10,0.37,0.16,0.12
David Accam,"PHI, CLB",2019,1127,2.04,1.02,0.51,0.26,0.11,0.25,1.02,0.26,0.11,0.14,0.37,0.31,0.17
Quincy Amarikwa,DCU,2019,560,2.23,0.69,0.17,0.26,-0.09,-0.09,1.20,0.00,0.11,-0.11,0.37,0.21,0.18
Romario Ibarra,MIN,2019,416,2.77,1.85,0.46,0.33,0.01,0.13,0.46,0.00,0.04,-0.04,0.37,0.19,0.18
Efrain Álvarez,LAG,2019,597,1.93,0.80,0.00,0.14,0.05,-0.14,1.93,0.48,0.23,0.25,0.37,0.00,0.06
Florian Valot,NYRB,2019,134,0.72,0.00,0.00,0.11,-0.11,-0.11,2.87,0.72,0.25,0.47,0.36,0.00,0.07
Benji Michel,ORL,2019,1071,0.99,0.81,0.45,0.31,0.15,0.14,0.54,0.00,0.05,-0.05,0.36,0.45,0.23
Niki Jackson,COL,2019,63,3.05,1.52,0.00,0.36,-0.09,-0.36,0.00,0.00,0.00,0.00,0.36,0.00,0.62
Omar Browne,MTL,2019,622,2.47,0.62,0.31,0.25,0.09,0.06,1.70,0.00,0.10,-0.10,0.36,0.33,0.26
Paul Arriola,DCU,2019,2648,2.18,0.83,0.22,0.22,0.01,0.00,1.45,0.07,0.13,-0.06,0.36,0.12,0.13
Peter-Lee Vassell,LAFC,2019,215,2.23,1.34,0.00,0.20,0.12,-0.20,1.79,0.00,0.16,-0.16,0.36,0.00,0.14
Robinho,"ORL, CLB",2019,1444,2.59,0.86,0.00,0.24,-0.12,-0.24,0.80,0.13,0.11,0.02,0.35,0.00,0.11
Sebastian Anderson,COL,2019,332,0.58,0.29,0.29,0.27,0.00,0.02,1.16,0.00,0.08,-0.08,0.35,0.16,0.15
Diego Fagundez,NER,2019,1286,1.64,0.60,0.15,0.21,-0.04,-0.06,1.42,0.22,0.14,0.08,0.35,0.02,0.15
Mark-Anthony Kaye,LAFC,2019,2729,1.27,0.46,0.14,0.11,0.03,0.03,1.76,0.25,0.24,0.01,0.35,0.08,0.06
Allan Cruz,CIN,2019,1876,1.94,1.07,0.36,0.28,0.10,0.08,0.82,0.00,0.07,-0.07,0.34,0.20,0.15
Sam Nicholson,COL,2019,1976,2.38,0.83,0.10,0.19,0.02,-0.09,1.12,0.15,0.15,-0.01,0.34,0.11,0.12
Matthew Real,PHI,2019,84,1.14,0.00,0.00,0.12,-0.12,-0.12,3.43,1.14,0.22,0.92,0.34,0.00,0.02
Erik Hurtado,SKC,2019,899,2.14,0.96,0.21,0.29,-0.09,-0.08,0.64,0.00,0.05,-0.05,0.34,0.22,0.20
Andreas Ivan,NYRB,2019,558,3.61,1.03,0.17,0.25,-0.04,-0.07,0.86,0.34,0.09,0.25,0.34,0.10,0.17
Javier Pérez,LAFC,2019,18,5.33,0.00,0.00,0.06,-0.06,-0.06,5.33,0.00,0.28,-0.28,0.34,0.00,0.09
Jefferson Savarino,RSL,2019,2496,3.04,1.42,0.31,0.21,0.04,0.09,1.58,0.15,0.12,0.03,0.34,0.20,0.13
Fabian Herbers,CHI,2019,873,1.98,0.66,0.33,0.24,0.03,0.09,1.32,0.11,0.10,0.01,0.33,0.15,0.10
Nick DeLeon,TOR,2019,2015,2.00,0.81,0.29,0.22,-0.03,0.06,1.14,0.05,0.11,-0.06,0.33,0.21,0.15
Harry Novillo,MTL,2019,497,2.12,0.77,0.19,0.11,-0.04,0.08,2.12,0.19,0.22,-0.03,0.33,0.15,0.08
Lee Nguyen,LAFC,2019,1323,1.31,0.51,0.00,0.08,0.04,-0.08,2.32,0.29,0.25,0.04,0.33,0.00,0.04
Corey Baird,RSL,2019,2258,1.32,0.60,0.21,0.20,0.05,0.01,1.15,0.13,0.12,0.01,0.32,0.12,0.13
Marlon Hairston,HOU,2019,472,1.22,0.81,0.00,0.25,-0.05,-0.25,1.02,0.00,0.07,-0.07,0.32,0.00,0.14
Damir Kreilach,RSL,2019,2874,1.97,0.50,0.20,0.21,-0.02,-0.01,1.07,0.10,0.12,-0.02,0.32,0.11,0.13
Luciano Acosta,DCU,2019,2362,2.36,0.77,0.24,0.20,0.00,0.05,1.14,0.00,0.12,-0.12,0.32,0.17,0.14
Alex Muyl,NYRB,2019,1542,1.43,0.68,0.19,0.17,0.02,0.01,0.87,0.12,0.15,-0.02,0.32,0.17,0.13
Santiago Mosquera,FCD,2019,1303,2.65,0.96,0.22,0.21,0.06,0.01,1.11,0.07,0.11,-0.03,0.32,0.10,0.15
Sebastián Saucedo,RSL,2019,1304,3.02,1.10,0.15,0.15,0.00,-0.01,2.21,0.22,0.15,0.07,0.31,0.08,0.10
Josh Sims,NYRB,2019,519,2.03,0.55,0.00,0.22,-0.09,-0.22,1.29,0.18,0.08,0.10,0.31,0.00,0.14
Joaquín Ardáiz,VAN,2019,502,2.29,0.76,0.00,0.29,-0.10,-0.29,0.38,0.00,0.02,-0.02,0.30,0.00,0.34
Will Bruin,SEA,2019,470,1.63,1.02,0.41,0.29,0.13,0.11,0.20,0.20,0.01,0.19,0.30,0.31,0.25
Yordy Reyna,VAN,2019,2183,2.64,1.19,0.31,0.20,0.07,0.11,1.06,0.04,0.10,-0.06,0.30,0.19,0.14
Romain Alessandrini,LAG,2019,288,2.67,1.00,0.00,0.18,-0.06,-0.18,2.00,0.00,0.13,-0.13,0.30,0.00,0.09
Kekuta Manneh,CIN,2019,1651,1.69,0.52,0.23,0.15,0.02,0.09,1.28,0.17,0.15,0.02,0.30,0.15,0.08
Ignacio Piatti,MTL,2019,826,2.32,0.46,0.35,0.21,-0.16,0.14,1.16,0.12,0.09,0.03,0.30,0.15,0.11
Jonathan Osorio,TOR,2019,1921,1.35,0.70,0.25,0.22,0.04,0.03,0.75,0.10,0.08,0.02,0.30,0.23,0.14
Tsubasa Endoh,TOR,2019,929,1.96,1.14,0.31,0.18,0.10,0.13,1.14,0.21,0.12,0.09,0.30,0.17,0.11
Justin Meram,"CLB, ATL",2019,1783,1.45,0.59,0.22,0.13,0.02,0.08,1.72,0.00,0.17,-0.17,0.30,0.17,0.10
Brenden Aaronson,PHI,2019,1825,1.79,0.47,0.16,0.20,-0.09,-0.04,1.26,0.05,0.10,-0.05,0.30,0.12,0.12
Handwalla Bwana,SEA,2019,654,1.47,0.59,0.15,0.14,0.04,0.01,1.03,0.15,0.15,-0.01,0.30,0.05,0.12
