Player,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Jorge Moreira,0.08,-0.02,-0.02,0.01,0.00,0.00,0.05
Jonathan dos Santos,0.02,-0.01,0.00,0.05,-0.02,0.00,0.05
Mauricio Pereyra,-0.04,-0.01,0.00,0.13,-0.03,0.00,0.05
C.J. Sapong,-0.03,0.01,0.01,-0.02,0.06,0.01,0.05
Antonio Mlinar Delamea,0.01,0.01,0.04,0.01,-0.01,0.00,0.05
Matt Hedges,0.00,0.01,-0.01,0.04,0.00,0.01,0.05
Adama Diomande,0.13,-0.01,-0.03,-0.02,-0.04,0.02,0.05
Paxton Pomykal,0.04,-0.01,0.03,0.01,-0.03,0.00,0.04
Edgar Castillo,-0.01,0.01,0.04,0.02,0.00,0.00,0.04
Chris Odoi-Atsem,0.02,0.02,0.06,-0.05,0.00,0.00,0.04
Nick Hagglund,0.01,0.01,0.01,0.00,0.01,0.01,0.04
Bacary Sagna,-0.01,0.02,0.01,0.01,0.02,0.00,0.04
Zachary Brault-Guillard,0.06,0.00,0.00,-0.02,0.00,0.00,0.04
Ike Opara,0.00,0.01,0.03,-0.02,0.02,0.01,0.04
Axel Sjöberg,-0.08,0.05,-0.01,-0.01,0.08,0.02,0.04
Alex Crognale,0.00,0.01,-0.05,0.01,0.04,0.02,0.04
Romario Ibarra,0.02,0.05,-0.01,0.03,0.00,-0.04,0.04
Diego Polenta,0.02,-0.01,0.01,0.04,-0.01,0.00,0.04
Alejandro Bedoya,0.02,-0.01,0.01,0.02,0.01,0.00,0.04
Sebastián Saucedo,0.05,0.04,0.01,-0.01,-0.05,0.01,0.04
Chris Wondolowski,-0.01,-0.01,-0.01,-0.03,0.09,0.01,0.04
Ruan,0.04,0.03,-0.01,-0.03,0.01,0.00,0.04
Fanendo Adi,-0.06,0.00,-0.02,-0.02,0.10,0.03,0.04
Jimmy Medranda,-0.03,0.01,0.02,0.07,-0.05,0.02,0.04
Gyasi Zardes,-0.03,0.01,0.02,-0.02,0.04,0.01,0.04
Luis Felipe,-0.02,0.01,0.06,0.01,-0.03,0.00,0.04
Saphir Taïder,0.02,0.02,-0.03,-0.02,0.04,0.01,0.04
Bastian Schweinsteiger,0.03,0.00,-0.01,0.02,-0.01,0.00,0.03
Jamiro Monteiro,0.01,-0.01,-0.01,0.04,-0.01,0.01,0.03
Brandon Bye,-0.01,-0.01,0.02,0.01,0.01,0.01,0.03
Nicolás Lodeiro,0.00,0.01,0.02,0.02,-0.01,-0.01,0.03
Wilfried Zahibo,0.00,0.03,-0.04,0.02,0.02,0.00,0.03
Brad Smith,0.02,0.01,-0.01,0.01,0.01,0.00,0.03
Krisztián Németh,0.00,0.01,-0.03,-0.04,0.06,0.04,0.03
Aaron Herrera,0.00,-0.01,0.05,0.00,-0.01,0.00,0.03
Jan Gregus,0.02,0.00,0.02,0.03,-0.02,-0.01,0.03
Jack Price,0.00,0.00,0.01,0.05,-0.03,-0.01,0.03
Joseph Mora,0.01,0.01,0.02,-0.01,0.00,0.00,0.03
Luis Díaz,0.04,0.00,-0.01,0.03,-0.03,0.01,0.03
Kenny Saief,0.04,-0.01,0.01,0.07,-0.06,-0.02,0.03
Kelvin Leerdam,0.00,-0.01,0.03,0.00,0.01,0.00,0.03
Uriel Antuna,0.02,0.01,-0.02,0.00,0.02,0.01,0.03
Scott Caldwell,-0.02,0.01,0.07,-0.01,-0.01,-0.01,0.03
Florian Jungwirth,0.01,-0.01,0.03,0.00,-0.01,0.00,0.03
Derrick Etienne,0.05,0.00,0.01,-0.02,-0.02,0.00,0.03
Mauro Manotas,-0.02,-0.02,0.00,0.03,0.02,0.02,0.03
Michael Bradley,0.00,0.01,0.01,0.02,-0.01,-0.01,0.03
Marco Delgado,0.01,0.00,-0.01,0.01,0.01,0.00,0.03
Daniel Steres,0.00,0.01,-0.03,0.02,0.03,0.00,0.03
Chase Gasper,0.02,0.02,0.02,-0.01,-0.02,0.00,0.02
Valentín Castellanos,-0.02,0.02,0.00,-0.01,0.04,0.00,0.02
Sean Davis,0.00,0.00,0.02,0.02,-0.02,0.00,0.02
Miles Robinson,0.03,0.01,-0.01,0.01,0.00,-0.01,0.02
Brooks Lennon,0.02,0.00,0.02,-0.01,0.00,0.00,0.02
Diego Fagundez,0.00,-0.01,0.02,0.01,0.02,-0.01,0.02
Tommy Smith,0.00,0.02,-0.01,-0.02,0.03,0.01,0.02
Diego Valeri,0.03,-0.01,-0.02,0.03,-0.01,0.00,0.02
Leonardo Jara,0.00,-0.01,0.04,-0.03,0.02,0.00,0.02
Andrew Farrell,-0.02,0.00,0.04,0.02,-0.02,0.00,0.02
Brek Shea,-0.01,0.03,-0.01,-0.01,0.02,0.00,0.02
Jonathan Mensah,0.00,0.01,0.01,0.00,0.00,0.00,0.02
Wayne Rooney,0.03,-0.01,0.01,0.04,-0.08,0.03,0.02
Paul Arriola,0.02,-0.01,0.01,-0.02,0.01,0.01,0.02
Djordje Mihailovic,-0.03,0.00,0.02,0.01,0.00,0.01,0.02
Walker Zimmerman,0.01,0.00,-0.03,0.03,0.00,0.00,0.02
Brandon Servania,-0.01,0.00,0.00,-0.04,0.05,0.01,0.02
Mathieu Choinière,-0.03,0.04,0.05,-0.03,-0.04,0.02,0.02
Christian Ramirez,-0.04,0.01,0.00,0.00,0.04,0.01,0.02
Graham Zusi,0.00,0.01,-0.01,0.02,0.00,0.00,0.02
Cristhian Paredes,-0.01,0.00,0.01,-0.03,0.04,0.01,0.02
Gastón Sauro,0.01,-0.01,0.00,0.00,0.02,0.00,0.02
Andreu Fontàs,0.04,-0.02,-0.04,0.05,-0.02,0.00,0.02
Alexander Ring,-0.01,-0.01,0.00,0.00,0.02,0.01,0.02
Eriq Zavaleta,-0.01,0.00,0.04,0.01,-0.02,0.00,0.02
Ricardo Clark,-0.06,0.00,0.09,-0.02,0.01,0.00,0.02
Darlington Nagbe,0.03,0.00,0.00,-0.01,-0.02,0.00,0.01
Jordan Hamilton,-0.07,0.00,-0.02,-0.08,0.15,0.03,0.01
Marc Rzatkowski,-0.01,0.02,-0.02,0.02,0.00,0.01,0.01
Erickson Gallardo,0.01,-0.01,0.05,-0.03,-0.01,0.00,0.01
Harold Cummings,0.01,-0.02,0.06,-0.01,-0.02,0.00,0.01
Liam Fraser,0.01,-0.01,-0.01,0.04,0.00,-0.01,0.01
Cristian Cásseres Jr,-0.01,0.02,-0.01,0.02,0.00,0.01,0.01
Amando Moreno,-0.01,-0.02,-0.07,-0.05,0.07,0.09,0.01
Harrison Afful,-0.01,0.00,0.01,0.00,0.01,0.00,0.01
Robinho,0.00,0.00,0.05,-0.03,-0.01,0.01,0.01
Matthew Real,0.00,0.00,-0.05,0.01,0.04,0.01,0.01
Tomás Conechny,-0.03,0.00,-0.07,0.01,0.05,0.03,0.01
Pedro Santos,0.02,0.03,0.00,0.01,-0.03,-0.01,0.01
Perry Kitchen,-0.01,0.00,0.03,0.01,-0.02,0.00,0.01
Kamal Miller,0.00,0.00,0.03,0.00,-0.02,0.00,0.01
Lee Nguyen,0.00,0.02,-0.02,0.01,-0.01,0.00,0.01
Tajon Buchanan,0.05,0.00,-0.01,0.01,-0.02,-0.02,0.01
Lucas Venuto,0.07,-0.01,-0.02,-0.02,-0.02,0.00,0.01
Cristian Higuita,0.00,0.00,0.06,-0.02,-0.02,-0.01,0.01
Nicolás Gaitán,-0.02,0.00,-0.02,0.04,0.01,0.00,0.01
Justen Glad,0.01,0.01,-0.02,0.01,-0.01,0.00,0.01
Sebastián Méndez,-0.01,0.00,0.05,-0.01,-0.02,0.00,0.01
Julian Araujo,-0.01,-0.01,0.04,-0.03,0.00,0.01,0.01
Diedie Traore,-0.01,0.02,0.00,0.01,-0.01,0.00,0.01
João Moutinho,0.00,0.00,-0.01,0.01,0.00,0.00,0.01
Judson,0.00,0.00,0.05,-0.02,-0.02,-0.01,0.01
Sam Vines,0.00,0.00,0.03,-0.01,-0.01,0.00,0.01
Yordy Reyna,0.04,0.02,0.02,0.01,-0.08,-0.02,0.01
Mark McKenzie,0.00,0.01,0.03,-0.01,-0.02,0.00,0.00
Nemanja Nikolic,-0.03,-0.01,-0.01,0.00,0.06,0.00,0.00
Gustav Svensson,0.01,0.00,-0.02,0.03,0.00,-0.01,0.00
