Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,Assists,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Harry Novillo,MTL,2019,497,11,4,1,0.57,-0.23,0.43,11,1,1.15,-0.15,1.72,0.80,0.41
Julian Araujo,LAG,2019,1001,7,2,0,0.60,-0.54,-0.60,10,1,1.12,-0.12,1.72,0.00,0.25
Rashawn Dally,CIN,2019,597,10,4,1,1.32,-0.06,-0.32,2,0,0.39,-0.39,1.71,0.41,0.47
Everton Luiz,RSL,2019,2309,8,2,0,0.49,0.04,-0.49,13,2,1.21,0.79,1.69,0.00,0.17
Amro Tarek,NYRB,2019,1608,8,4,1,0.88,0.30,0.12,6,0,0.81,-0.81,1.68,0.58,0.51
Aníbal Godoy,SJE,2019,1479,6,2,0,0.28,-0.13,-0.28,13,1,1.40,-0.40,1.68,0.00,0.04
Mohamed El-Munir,LAFC,2019,681,11,3,1,0.67,-0.20,0.33,8,0,1.00,-1.00,1.67,0.00,0.37
Gustav Svensson,SEA,2019,1976,19,4,0,0.82,-0.59,-0.82,13,0,0.85,-0.85,1.67,0.00,0.44
Adrien Pérez,LAFC,2019,273,7,3,1,1.30,-0.69,-0.30,5,0,0.36,-0.36,1.66,0.60,0.94
Derrick Etienne,"NYRB, CIN",2019,758,13,6,1,1.12,0.26,-0.12,2,1,0.54,0.46,1.66,1.06,0.48
Josh Sims,NYRB,2019,519,11,3,0,1.21,-0.51,-1.21,7,1,0.44,0.56,1.65,0.00,0.74
Dave Romney,LAG,2019,1007,8,5,0,0.96,-0.30,-0.96,8,1,0.65,0.35,1.61,0.00,0.53
Graham Smith,SKC,2019,976,8,4,1,1.43,-0.36,-0.43,2,1,0.17,0.83,1.60,1.17,1.03
Romario Ibarra,MIN,2019,416,12,8,2,1.44,0.04,0.56,2,0,0.16,-0.16,1.60,0.81,0.77
Joaquín Ardáiz,VAN,2019,502,12,4,0,1.51,-0.54,-1.51,2,0,0.08,-0.08,1.59,0.00,1.77
Marlon Hairston,HOU,2019,472,6,4,0,1.22,-0.25,-1.22,5,0,0.37,-0.37,1.59,0.00,0.69
Doneil Henry,VAN,2019,2323,12,6,4,1.57,0.69,2.43,0,0,0.00,0.00,1.57,2.06,1.00
Nick Besler,RSL,2019,834,3,2,1,0.78,0.03,0.22,7,1,0.80,0.20,1.57,0.15,0.38
João Moutinho,ORL,2019,1347,9,2,0,0.32,-0.12,-0.32,12,2,1.25,0.75,1.57,0.00,0.24
Walker Zimmerman,LAFC,2019,2369,21,5,1,1.17,-0.30,-0.17,4,0,0.40,-0.40,1.57,1.76,1.08
Raheem Edwards,CHI,2019,268,7,4,1,1.21,0.63,-0.21,4,0,0.36,-0.36,1.57,0.22,0.54
Pablo Aránguiz,FCD,2019,627,11,2,0,1.10,-0.76,-1.10,7,0,0.45,-0.45,1.55,0.00,0.75
Andrew Wooten,PHI,2019,390,5,2,0,1.06,-0.21,-1.06,3,0,0.49,-0.49,1.55,0.00,0.37
Julio Cascante,POR,2019,1614,10,3,0,0.83,0.10,-0.83,3,1,0.71,0.29,1.54,0.00,0.42
Botond Baráth,SKC,2019,1915,8,2,1,0.95,0.12,0.05,2,0,0.59,-0.59,1.54,0.60,0.57
Miles Robinson,ATL,2019,3259,19,6,0,1.31,-0.02,-1.31,4,0,0.21,-0.21,1.52,0.00,0.66
Andrés Ríos,SJE,2019,330,4,2,1,0.96,-0.05,0.04,9,0,0.56,-0.56,1.52,0.33,0.07
Lalas Abubakar,"CLB, COL",2019,2286,13,4,0,1.35,-0.01,-1.35,4,0,0.14,-0.14,1.49,0.00,1.02
Will Bruin,SEA,2019,470,8,5,2,1.44,0.61,0.56,1,1,0.05,0.95,1.49,1.54,1.22
Amando Moreno,CHI,2019,113,6,2,0,0.97,-0.48,-0.97,1,0,0.52,-0.52,1.48,0.00,0.75
Bill Tuiloma,POR,2019,2229,28,6,1,1.45,-0.52,-0.45,1,0,0.03,-0.03,1.48,0.62,1.15
Florian Jungwirth,SJE,2019,2943,19,6,0,1.37,0.28,-1.37,4,0,0.11,-0.11,1.47,0.00,0.87
Joseph Mora,DCU,2019,1750,7,0,0,0.20,-0.20,-0.20,15,1,1.27,-0.27,1.47,0.00,0.16
Wil Trapp,CLB,2019,2574,4,0,0,0.07,-0.07,-0.07,21,3,1.40,1.60,1.47,0.00,0.03
Eric Remedi,ATL,2019,2213,11,3,0,0.71,-0.33,-0.71,12,1,0.74,0.26,1.46,0.00,0.25
Matías Vera,HOU,2019,2896,22,0,0,0.96,-0.96,-0.96,15,1,0.50,0.50,1.46,0.00,0.89
Johan Kappelhof,CHI,2019,2796,6,1,0,0.66,-0.17,-0.66,9,1,0.78,0.22,1.45,0.00,0.43
A.J. DeLaGarza,HOU,2019,2188,8,2,0,0.88,-0.67,-0.88,7,1,0.57,0.43,1.44,0.00,0.47
Saad Abdul-Salaam,SEA,2019,1217,1,0,0,0.08,-0.08,-0.08,7,0,1.36,-1.36,1.44,0.00,0.05
Ola Kamara,DCU,2019,282,8,6,3,1.22,0.93,1.78,2,0,0.22,-0.22,1.43,1.89,0.71
Gastón Sauro,CLB,2019,1412,11,3,2,1.03,0.03,0.97,3,0,0.39,-0.39,1.42,1.34,0.73
Luis Silva,SEA,2019,222,11,4,0,1.39,-0.25,-1.39,1,0,0.02,-0.02,1.41,0.00,0.68
Artur,CLB,2019,2697,15,3,0,0.72,-0.50,-0.72,14,0,0.68,-0.68,1.40,0.00,0.52
DaMarcus Beasley,HOU,2019,1126,3,0,0,0.11,-0.11,-0.11,9,2,1.27,0.73,1.39,0.00,0.04
Ayo Akinola,TOR,2019,293,8,3,1,1.16,-0.62,-0.16,3,0,0.22,-0.22,1.38,0.60,0.88
Mathieu Choinière,MTL,2019,767,7,0,0,0.84,-0.84,-0.84,4,1,0.52,0.48,1.36,0.00,0.69
Guram Kashia,SJE,2019,2113,9,3,0,0.91,-0.48,-0.91,6,0,0.44,-0.44,1.35,0.00,0.53
Rasmus Schüller,MIN,2019,996,15,1,0,0.90,-0.43,-0.90,10,0,0.45,-0.45,1.35,0.00,0.53
Kyle Duncan,NYRB,2019,1192,6,1,1,0.60,0.15,0.40,9,2,0.69,1.31,1.29,0.59,0.56
Chase Gasper,MIN,2019,1426,5,1,0,0.36,-0.32,-0.36,12,0,0.91,-0.91,1.28,0.00,0.19
Nedum Onuoha,RSL,2019,2554,9,4,1,0.80,-0.52,0.20,3,0,0.47,-0.47,1.27,0.14,0.44
Liam Fraser,TOR,2019,887,7,1,0,0.78,-0.33,-0.78,9,0,0.48,-0.48,1.26,0.00,0.41
Ben Sweat,NYC,2019,1406,4,3,0,0.24,0.17,-0.24,10,1,1.02,-0.02,1.26,0.00,0.15
Justin Dhillon,SEA,2019,286,7,3,0,0.84,-0.41,-0.84,4,0,0.42,-0.42,1.26,0.00,0.74
Bressan,FCD,2019,1261,8,5,1,0.33,0.16,0.67,7,1,0.92,0.08,1.25,0.40,0.18
Hassani Dotson,MIN,2019,1580,15,7,4,0.90,2.22,3.10,10,0,0.34,-0.34,1.24,3.84,0.84
Claude Dielna,POR,2019,1225,13,1,0,0.98,-0.74,-0.98,3,0,0.26,-0.26,1.24,0.00,0.87
Nick Hagglund,CIN,2019,1985,10,2,0,1.10,-0.23,-1.10,4,0,0.13,-0.13,1.23,0.00,0.60
Sebastian Anderson,COL,2019,332,2,1,1,0.94,0.01,0.06,4,0,0.26,-0.26,1.21,0.54,0.51
Nicolas Hasler,"CHI, SKC",2019,800,3,1,0,0.08,-0.07,-0.08,7,0,1.12,-1.12,1.21,0.00,0.04
Alvas Powell,CIN,2019,1070,7,3,0,0.40,0.11,-0.40,7,0,0.78,-0.78,1.18,0.00,0.38
Russell Canouse,DCU,2019,2365,10,0,0,0.72,-0.72,-0.72,9,0,0.45,-0.45,1.17,0.00,0.70
Erickson Gallardo,TOR,2019,255,3,0,0,0.32,-0.32,-0.32,4,1,0.83,0.17,1.16,0.00,0.19
Paul Marie,SJE,2019,408,6,2,0,0.63,-0.47,-0.63,5,1,0.52,0.48,1.15,0.00,0.63
Oriol Rosell,ORL,2019,1635,15,2,0,0.73,-0.52,-0.73,6,0,0.40,-0.40,1.13,0.00,0.50
Victor Giro,VAN,2019,900,7,1,0,0.54,0.05,-0.54,6,1,0.59,0.41,1.12,0.00,0.40
Alex Crognale,CLB,2019,1000,4,0,0,1.12,-1.12,-1.12,0,0,0.00,0.00,1.12,0.00,0.87
Ricardo Pepi,FCD,2019,113,2,1,0,0.27,-0.18,-0.27,4,0,0.84,-0.84,1.11,0.00,0.00
Alexander Callens,NYC,2019,2398,17,1,0,0.96,-0.88,-0.96,2,0,0.15,-0.15,1.10,0.00,0.57
Judson,SJE,2019,2064,15,4,1,0.48,0.11,0.52,9,0,0.62,-0.62,1.10,0.60,0.26
Donovan Pines,DCU,2019,868,2,0,0,0.17,-0.17,-0.17,7,1,0.92,0.08,1.10,0.00,0.10
Carlos Fierro,SJE,2019,264,7,1,0,0.99,-0.89,-0.99,2,0,0.09,-0.09,1.08,0.00,0.36
Romario Williams,"ATL, CLB",2019,212,7,4,1,0.76,-0.10,0.24,3,0,0.31,-0.31,1.07,1.76,0.48
Justen Glad,RSL,2019,2251,8,2,0,0.97,-0.35,-0.97,2,0,0.07,-0.07,1.03,0.00,0.54
Jonathan Mensah,CLB,2019,2372,12,3,0,1.01,-0.26,-1.01,1,0,0.02,-0.02,1.03,0.00,0.82
Jake Nerwinski,VAN,2019,2208,6,1,1,0.39,-0.31,0.61,6,0,0.63,-0.63,1.01,0.60,0.27
Joe Gyau,CIN,2019,508,12,5,0,0.93,-0.39,-0.93,3,0,0.06,-0.06,0.99,0.00,0.48
Emil Cuello,LAG,2019,246,2,0,0,0.33,-0.33,-0.33,2,1,0.64,0.36,0.98,0.00,0.21
Alejandro Fuenmayor,HOU,2019,768,3,0,0,0.96,-0.96,-0.96,0,0,0.00,0.00,0.96,0.00,0.84
Dillon Serna,COL,2019,669,8,2,0,0.44,-0.30,-0.44,7,0,0.51,-0.51,0.95,0.00,0.27
Laurent Ciman,TOR,2019,1387,11,3,0,0.75,-0.30,-0.75,3,0,0.18,-0.18,0.93,0.00,0.52
Scott Sutter,VAN,2019,1106,5,2,1,0.24,0.32,0.76,7,0,0.68,-0.68,0.92,0.62,0.19
Kyle Beckerman,RSL,2019,2299,17,4,0,0.58,-0.13,-0.58,10,3,0.33,2.67,0.91,0.00,0.39
Romain Alessandrini,LAG,2019,288,8,3,0,0.53,-0.18,-0.53,6,0,0.38,-0.38,0.91,0.00,0.28
Omar González,TOR,2019,1379,12,4,1,0.72,0.52,0.28,1,0,0.19,-0.19,0.91,1.25,0.56
Samuel Piette,MTL,2019,2428,12,1,0,0.26,-0.14,-0.26,12,0,0.65,-0.65,0.90,0.00,0.12
Zarek Valentin,POR,2019,1892,3,0,0,0.07,-0.07,-0.07,12,0,0.82,-0.82,0.89,0.00,0.05
Antonio Mlinar Delamea,NER,2019,1490,8,2,2,0.75,0.33,1.25,2,1,0.14,0.86,0.88,1.32,0.62
Jon Erice,VAN,2019,1907,2,0,0,0.13,-0.13,-0.13,9,1,0.73,0.27,0.86,0.00,0.13
Fatai Alashe,CIN,2019,498,8,5,1,0.83,0.48,0.17,1,0,0.03,-0.03,0.86,0.38,0.46
Jeff Larentowicz,ATL,2019,1651,11,1,0,0.66,-0.49,-0.66,3,0,0.18,-0.18,0.85,0.00,0.42
Shane O'Neill,ORL,2019,937,3,0,0,0.14,-0.14,-0.14,5,0,0.71,-0.71,0.84,0.00,0.14
Sebastián Méndez,ORL,2019,1997,10,0,0,0.56,-0.56,-0.56,5,0,0.28,-0.28,0.84,0.00,0.39
Renzo Zambrano,POR,2019,866,7,1,0,0.50,-0.49,-0.50,5,0,0.34,-0.34,0.84,0.00,0.17
Mo Adams,"CHI, ATL",2019,648,3,2,1,0.31,0.99,0.69,6,1,0.51,0.49,0.82,0.58,0.11
Seth Sinovic,SKC,2019,2076,10,1,0,0.35,-0.33,-0.35,7,1,0.45,0.55,0.80,0.00,0.22
Maikel van der Werff,CIN,2019,1097,4,1,0,0.61,-0.28,-0.61,4,0,0.19,-0.19,0.80,0.00,0.58
Maxime Chanot,NYC,2019,3111,12,1,0,0.51,-0.46,-0.51,6,0,0.29,-0.29,0.80,0.00,0.28
Lass Bangoura,VAN,2019,697,11,4,1,0.41,-0.08,0.59,6,1,0.39,0.61,0.80,0.81,0.38
Peter-Lee Vassell,LAFC,2019,215,5,3,0,0.44,0.27,-0.44,4,0,0.35,-0.35,0.80,0.00,0.32
Nouhou Tolo,SEA,2019,912,5,2,0,0.41,-0.26,-0.41,2,0,0.38,-0.38,0.78,0.00,0.31
Raymon Gaddis,PHI,2019,3242,3,0,0,0.39,-0.39,-0.39,7,1,0.39,0.61,0.78,0.00,0.29
Giancarlo González,LAG,2019,1608,7,2,1,0.58,0.21,0.42,1,0,0.20,-0.20,0.78,1.32,0.58
Matt Besler,SKC,2019,2308,2,0,0,0.11,-0.11,-0.11,6,0,0.67,-0.67,0.78,0.00,0.09
Vincent Bezecourt,NYRB,2019,488,11,3,0,0.43,0.61,-0.43,4,0,0.34,-0.34,0.77,0.00,0.24
Jorge Corrales,"CHI, MTL",2019,1244,2,0,0,0.04,-0.04,-0.04,8,1,0.73,0.27,0.77,0.00,0.03
Waylon Francis,CLB,2019,1510,3,0,0,0.08,-0.08,-0.08,5,0,0.67,-0.67,0.75,0.00,0.03
Greg Garza,CIN,2019,998,0,0,0,0.00,0.00,0.00,10,0,0.75,-0.75,0.75,0.00,0.00
Andrés Flores,POR,2019,863,10,1,0,0.55,-0.49,-0.55,6,1,0.19,0.81,0.75,0.00,0.30
Rodolfo Zelaya,LAFC,2019,136,6,2,1,0.62,-0.23,0.38,3,0,0.12,-0.12,0.74,0.02,0.19
Ebenezer Ofori,NYC,2019,1407,8,2,2,0.36,0.00,1.64,7,0,0.37,-0.37,0.73,0.61,0.22
Jacori Hayes,FCD,2019,982,7,2,0,0.39,-0.16,-0.39,5,2,0.33,1.67,0.72,0.00,0.17
Luis Martins,SKC,2019,915,6,3,0,0.14,-0.02,-0.14,4,0,0.58,-0.58,0.72,0.00,0.07
Caleb Stanko,CIN,2019,1581,5,2,0,0.25,-0.15,-0.25,7,0,0.45,-0.45,0.70,0.00,0.28
Robin Jansson,ORL,2019,2663,10,0,0,0.68,-0.68,-0.68,1,0,0.02,-0.02,0.70,0.00,0.51
Sam Vines,COL,2019,2381,5,0,0,0.15,-0.15,-0.15,5,0,0.55,-0.55,0.70,0.00,0.10
Michael Parkhurst,ATL,2019,1579,4,2,0,0.12,-0.09,-0.12,9,0,0.58,-0.58,0.70,0.00,0.04
