Player,Passes,Pass%,xPass%,Score,Per100,Distance,Vertical,Touch%
John Nelson,59.25,79.63%,78.24%,0.82,1.39,18.42,2.88,6.36%
Eric Miller,44.40,78.15%,76.30%,0.82,1.85,19.36,3.55,7.00%
Alejandro Pozuelo,66.30,79.14%,77.90%,0.82,1.24,19.11,2.39,11.08%
Josh Pérez,28.15,83.97%,81.12%,0.80,2.85,13.98,-1.71,2.56%
Akeem Ward,17.28,66.67%,62.06%,0.80,4.61,14.81,7.27,2.97%
Justin Morrow,51.13,81.70%,80.14%,0.80,1.56,16.83,0.22,8.60%
Nick Lima,44.46,81.14%,79.35%,0.80,1.79,19.07,0.66,7.62%
Maikel van der Werff,40.34,81.13%,79.17%,0.79,1.96,25.29,10.84,10.51%
Ronald Matarrita,61.07,77.03%,75.74%,0.79,1.29,19.45,3.54,10.52%
Tony Rocha,49.06,86.89%,85.30%,0.78,1.59,16.55,1.39,5.61%
Rudy Camacho,62.38,87.30%,86.07%,0.77,1.23,22.75,7.99,11.15%
Anthony Fontana,39.86,88.73%,86.81%,0.76,1.92,15.33,0.49,1.99%
Chris Pontius,34.90,83.28%,81.12%,0.75,2.15,12.89,-0.81,3.35%
Brandon Bye,43.82,66.82%,65.13%,0.74,1.69,18.51,8.61,10.17%
Brad Knighton,26.41,64.04%,61.26%,0.73,2.78,47.59,40.75,16.64%
Robin Jansson,36.63,82.97%,80.97%,0.73,2.00,23.78,11.80,8.08%
Ricardo Pepi,16.99,75.00%,70.70%,0.73,4.30,13.94,5.31,0.86%
Joe Corona,60.62,85.96%,84.75%,0.73,1.20,17.04,4.45,10.47%
Jan Gregus,63.29,80.90%,79.78%,0.71,1.12,21.45,4.89,12.81%
Nicolas Hasler,54.00,80.89%,79.59%,0.70,1.30,19.44,3.61,6.74%
Felipe Gutiérrez,51.51,83.52%,82.17%,0.70,1.35,20.69,3.52,10.08%
Amar Sejdic,36.51,88.89%,86.99%,0.69,1.90,17.97,-1.71,5.56%
Waylon Francis,53.34,77.00%,75.73%,0.67,1.26,19.14,5.11,8.91%
Raymon Gaddis,49.13,83.00%,81.64%,0.67,1.36,18.15,3.06,8.99%
Magnus Eriksson,55.76,78.29%,77.09%,0.67,1.20,19.12,3.84,10.04%
Nick DeLeon,42.74,81.38%,79.83%,0.66,1.55,17.01,1.82,5.48%
Larrys Mabiala,39.17,83.95%,82.26%,0.66,1.69,21.77,7.66,8.10%
Seth Sinovic,54.34,80.77%,79.55%,0.66,1.21,18.78,2.88,9.44%
Axel Sjöberg,41.17,84.62%,83.02%,0.66,1.60,20.86,6.86,6.89%
Jon Erice,58.50,86.06%,84.93%,0.66,1.12,19.47,6.99,10.54%
Renzo Zambrano,51.44,88.36%,87.09%,0.65,1.27,22.04,4.62,9.26%
Brent Kallman,42.86,86.75%,85.22%,0.65,1.53,21.83,7.44,8.53%
Shea Salinas,43.75,79.28%,77.79%,0.65,1.48,17.63,1.04,4.69%
Nouhou Tolo,52.63,82.00%,80.77%,0.65,1.23,17.05,1.00,4.87%
Siad Haji,34.29,72.00%,70.14%,0.64,1.86,16.23,1.07,1.56%
Corben Bone,45.71,87.00%,85.61%,0.64,1.39,15.87,-0.33,3.27%
Andrew Farrell,41.06,76.16%,74.62%,0.63,1.54,24.34,13.49,10.56%
Cristhian Paredes,42.92,84.63%,83.18%,0.63,1.46,19.77,4.67,7.27%
Kelvin Leerdam,51.73,78.18%,76.97%,0.63,1.21,18.64,2.71,8.91%
Jørgen Skjelvik,41.19,78.41%,76.90%,0.62,1.51,16.37,2.80,7.96%
Aníbal Godoy,55.69,88.93%,87.84%,0.61,1.09,21.45,3.75,10.33%
Paul Marie,40.47,75.00%,73.53%,0.60,1.47,18.05,3.65,4.10%
Oriol Rosell,56.48,85.76%,84.72%,0.59,1.04,20.26,6.34,9.75%
Alex De John,28.03,80.31%,78.23%,0.58,2.09,22.05,9.54,6.46%
Jake Nerwinski,42.87,79.31%,77.97%,0.57,1.34,17.32,2.59,8.12%
Uriel Antuna,27.90,76.36%,74.32%,0.57,2.04,16.69,-0.66,5.91%
Sean Johnson,36.99,75.18%,73.65%,0.57,1.53,37.40,27.77,14.76%
Yohan Croizet,35.43,80.58%,79.00%,0.56,1.58,19.65,2.00,4.96%
Tsubasa Endoh,36.17,79.71%,78.17%,0.56,1.54,17.75,-1.50,4.95%
Kevin Garcia,47.79,80.48%,79.33%,0.55,1.15,22.39,7.29,8.25%
Jasser Khmiri,18.61,84.21%,81.26%,0.55,2.95,21.79,14.09,7.89%
Modou Jadama,40.87,76.74%,75.41%,0.55,1.33,20.50,1.33,9.15%
Brad Smith,61.11,76.87%,75.98%,0.54,0.89,16.91,3.01,9.89%
Alejandro Fuenmayor,52.63,84.80%,83.78%,0.54,1.02,23.93,8.12,10.44%
Clint Irwin,28.06,55.82%,53.91%,0.54,1.91,49.31,44.36,17.06%
Romain Métanire,59.70,71.77%,70.88%,0.54,0.90,20.66,6.72,12.67%
Mathieu Deplagne,46.98,79.21%,78.08%,0.53,1.13,19.02,5.35,10.07%
Bressan,57.78,81.69%,80.77%,0.53,0.91,21.70,6.86,8.42%
Frédéric Brillant,39.79,81.66%,80.33%,0.53,1.32,21.95,10.26,8.42%
Keaton Parks,60.41,85.67%,84.80%,0.52,0.87,18.41,4.37,7.76%
Latif Blessing,48.75,84.64%,83.57%,0.52,1.07,15.88,3.72,8.80%
Marvin Loría,36.44,82.01%,80.59%,0.52,1.42,17.47,0.04,3.78%
Valeri Qazaishvili,36.20,83.79%,82.38%,0.51,1.42,15.99,1.41,6.43%
Danilo Silva,46.71,79.53%,78.43%,0.51,1.10,20.48,8.75,5.80%
Marcos López,58.43,79.40%,78.52%,0.51,0.87,20.33,2.38,7.46%
Román Torres,38.07,78.46%,77.15%,0.50,1.31,25.72,10.43,6.94%
Sam Vines,36.13,77.57%,76.21%,0.49,1.36,20.21,6.86,8.55%
Gianluca Busio,35.43,85.49%,84.11%,0.49,1.38,17.83,-1.97,4.01%
Jesús Medina,35.59,83.92%,82.55%,0.49,1.37,17.25,1.14,3.76%
Luis Martins,52.04,75.20%,74.27%,0.49,0.93,18.31,4.12,10.14%
Franco Escobar,50.77,81.94%,81.00%,0.48,0.94,18.88,1.87,8.94%
Sebastien Ibeagha,42.80,83.87%,82.75%,0.48,1.12,21.82,7.26,4.93%
Giancarlo González,32.00,80.78%,79.31%,0.47,1.47,24.27,9.88,6.32%
Marquinhos Pedroso,48.77,75.11%,74.19%,0.45,0.92,18.82,2.81,6.16%
Hwang In-Beom,56.64,84.58%,83.82%,0.43,0.76,19.76,3.55,10.87%
Ike Opara,37.12,81.62%,80.47%,0.43,1.15,20.84,8.66,8.44%
Johan Kappelhof,39.76,81.78%,80.71%,0.43,1.07,19.94,6.08,8.35%
Quentin Westberg,36.32,75.92%,74.76%,0.42,1.15,36.94,28.40,15.97%
Brandt Bronico,44.93,79.94%,79.05%,0.40,0.89,18.53,4.42,6.88%
Francis Atuahene,8.73,100.00%,95.43%,0.40,4.57,10.94,-6.94,2.47%
Aleksandar Katai,41.08,75.41%,74.47%,0.38,0.94,17.37,0.09,8.29%
Foster Langsdorf,12.00,60.00%,56.81%,0.38,3.19,10.63,1.70,1.09%
Matt Turner,26.59,65.18%,63.75%,0.38,1.43,45.37,38.88,19.72%
Alfonso Ocampo-Chavez,13.98,86.67%,83.98%,0.38,2.69,12.43,-3.21,1.30%
Deklan Wynne,36.88,77.84%,76.83%,0.37,1.00,22.69,10.18,9.30%
Everton Luiz,38.29,86.54%,85.59%,0.36,0.95,17.13,2.72,7.48%
Przemyslaw Tyton,30.56,65.82%,64.70%,0.34,1.13,42.95,34.65,16.54%
Shandon Hopeau,30.44,84.62%,83.51%,0.34,1.11,12.83,-4.50,2.15%
Brek Shea,56.39,79.10%,78.50%,0.33,0.59,18.40,1.93,5.65%
Joseph Mora,39.94,72.66%,71.83%,0.33,0.84,17.37,5.65,8.04%
Shamit Shome,33.76,83.25%,82.28%,0.33,0.98,17.12,3.96,5.06%
Luis Caicedo,36.42,80.76%,79.87%,0.32,0.88,19.79,6.92,7.92%
Servando Carrasco,32.27,83.95%,82.96%,0.32,0.99,20.94,5.97,2.46%
Bryan Acosta,69.10,85.32%,84.86%,0.32,0.46,23.61,5.34,11.01%
Wil Trapp,65.45,85.24%,84.76%,0.32,0.48,20.67,5.47,11.52%
Ilie Sánchez,62.00,84.95%,84.44%,0.32,0.51,22.22,6.26,9.86%
Jalil Anibaba,31.79,68.11%,67.12%,0.31,0.99,26.81,15.38,8.34%
Michee Ngalina,6.86,100.00%,95.58%,0.30,4.42,9.45,-9.32,0.19%
Frankie Amaya,40.81,83.51%,82.78%,0.30,0.73,19.44,1.30,7.02%
Tyler Miller,28.49,79.88%,78.85%,0.29,1.03,34.44,26.22,11.59%
Tomás Martínez,39.85,80.81%,80.08%,0.29,0.73,18.96,4.69,7.79%
Diego Palacios,77.76,80.25%,79.87%,0.29,0.37,17.94,1.37,6.64%
Edgar Castillo,49.68,74.68%,74.12%,0.28,0.56,18.91,8.66,10.80%
Mark McKenzie,48.25,85.42%,84.85%,0.28,0.57,21.12,7.05,8.67%
Diego Fagundez,40.46,79.34%,78.66%,0.27,0.67,18.18,4.23,4.60%
Anton Tinnerholm,52.72,74.98%,74.50%,0.26,0.49,18.65,5.09,9.34%
Ezequiel Barco,45.06,79.23%,78.66%,0.26,0.57,17.72,1.74,6.53%
Carles Gil,60.62,76.27%,75.85%,0.25,0.42,21.18,5.75,13.39%
Francisco Calvo,53.17,77.65%,77.20%,0.24,0.45,23.80,10.99,11.04%
Brad Guzan,35.13,74.41%,73.73%,0.24,0.68,39.46,29.14,16.77%
Kendall Waston,48.30,78.46%,77.98%,0.23,0.48,25.17,11.60,11.17%
David Ousted,27.25,65.38%,64.55%,0.23,0.84,42.79,34.55,14.59%
Marcelo,43.31,77.80%,77.29%,0.22,0.51,24.25,10.48,7.55%
Emerson Hyndman,39.07,83.26%,82.69%,0.22,0.56,16.11,2.45,5.59%
Eric Alexander,37.80,84.89%,84.33%,0.21,0.56,15.79,1.91,4.91%
Jeff Attinella,30.56,66.04%,65.35%,0.21,0.69,43.24,35.90,20.14%
Jordan Hamilton,17.90,85.31%,84.14%,0.21,1.18,13.49,-3.51,2.23%
Felipe,50.74,83.17%,82.76%,0.21,0.40,20.81,5.03,8.26%
Aboubacar Keita,34.56,83.12%,82.56%,0.19,0.56,24.27,9.11,7.62%
Diedie Traore,46.02,73.28%,72.88%,0.18,0.40,18.76,5.90,6.59%
Derrick Etienne,29.76,71.06%,70.46%,0.18,0.61,18.15,2.86,3.93%
Diego Rossi,33.37,80.40%,79.87%,0.18,0.54,15.34,-1.56,6.80%
Thomás Chacón,25.32,83.33%,82.66%,0.17,0.68,14.90,-3.19,3.54%
Tommy McCabe,46.47,87.59%,87.22%,0.17,0.37,20.24,4.75,5.03%
Brad Stuver,34.84,85.33%,84.87%,0.16,0.46,32.89,22.22,17.46%
Peter-Lee Vassell,47.78,83.18%,82.84%,0.16,0.34,16.11,3.06,3.33%
Adrián Zendejas,42.67,86.36%,86.00%,0.16,0.37,30.54,20.33,11.79%
Przemyslaw Frankowski,38.98,76.00%,75.60%,0.15,0.39,17.95,1.18,7.39%
Tim Melia,31.87,77.87%,77.40%,0.15,0.47,35.75,26.06,14.87%
Lucas Rodríguez,32.24,84.94%,84.48%,0.15,0.46,17.31,1.76,7.57%
Kyle Beckerman,57.46,84.45%,84.22%,0.13,0.23,20.27,5.52,10.92%
Julian Araujo,41.53,72.98%,72.67%,0.13,0.31,18.44,4.39,5.87%
Jimmy Medranda,32.27,74.68%,74.31%,0.12,0.38,18.69,2.10,1.98%
Cristian Pavón,42.05,73.20%,72.92%,0.12,0.28,16.44,2.21,9.88%
Will Johnson,47.45,85.76%,85.53%,0.11,0.24,19.28,2.29,8.94%
Saad Abdul-Salaam,45.83,76.25%,76.01%,0.11,0.24,19.07,4.32,6.13%
Eric Remedi,57.74,87.90%,87.71%,0.11,0.19,19.35,3.36,8.34%
Marco Fabián,54.37,83.27%,83.07%,0.11,0.20,18.08,1.95,6.79%
Zakaria Diallo,58.34,83.57%,83.38%,0.11,0.18,24.51,10.29,11.07%
Emmanuel Boateng,26.58,72.79%,72.40%,0.10,0.39,15.30,0.60,2.88%
Cristian Martínez,49.20,73.17%,72.97%,0.10,0.20,19.24,2.92,1.79%
Tim Howard,31.17,57.12%,56.84%,0.09,0.29,48.65,42.92,17.71%
Dillon Powers,47.30,83.68%,83.52%,0.07,0.16,18.82,3.76,9.96%
Jaylin Lindsey,39.83,84.62%,84.44%,0.07,0.18,22.31,1.30,10.29%
Steve Clark,33.53,76.48%,76.29%,0.07,0.20,38.40,28.50,16.54%
